question,correct_answer,generated_answer,total_tokens
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway 61,"{""completion_tokens"": 77, ""prompt_tokens"": 249, ""total_tokens"": 326, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 64, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,ROU,>> FINAL ANSWER: Romania,"{""completion_tokens"": 463, ""prompt_tokens"": 250, ""total_tokens"": 713, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,>> FINAL ANSWER: Wild Palms,"{""completion_tokens"": 337, ""prompt_tokens"": 257, ""total_tokens"": 594, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 320, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
If I Were A Rich Man Was a big hit from which stage show?,2 life,>> FINAL ANSWER: Fiddler on the Roof,"{""completion_tokens"": 212, ""prompt_tokens"": 248, ""total_tokens"": 460, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,bounty vessel,>> FINAL ANSWER: Mutiny on the Bounty,"{""completion_tokens"": 148, ""prompt_tokens"": 253, ""total_tokens"": 401, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What was Truman Capote's last name before he was adopted by his stepfather?,Person,>> FINAL ANSWER: Persons,"{""completion_tokens"": 271, ""prompt_tokens"": 250, ""total_tokens"": 521, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Boojum,A Boojum.,"{""completion_tokens"": 973, ""prompt_tokens"": 259, ""total_tokens"": 1232, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 960, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"In the Bible, who did the sun and moon stand still before?",يوشع,Joshua.,"{""completion_tokens"": 651, ""prompt_tokens"": 247, ""total_tokens"": 898, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 640, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,>> FINAL ANSWER: Dangerous Minds,"{""completion_tokens"": 272, ""prompt_tokens"": 251, ""total_tokens"": 523, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What was President Gerald Ford's middle name?,Rudolf,>> FINAL ANSWER: Rudolph,"{""completion_tokens"": 271, ""prompt_tokens"": 242, ""total_tokens"": 513, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Art Garfunkel trained for which profession although he didn't qualify?,Architect,>> FINAL ANSWER: Architect,"{""completion_tokens"": 1871, ""prompt_tokens"": 246, ""total_tokens"": 2117, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 1856, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who was the last inmate of Spandau jail in Berlin?,Rudolf Heß,>> FINAL ANSWER: Rudolf Hess,"{""completion_tokens"": 208, ""prompt_tokens"": 246, ""total_tokens"": 454, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What was Eddie Murphy's first movie?,48 time,>> FINAL ANSWER: 48 Hrs. (1982),"{""completion_tokens"": 471, ""prompt_tokens"": 241, ""total_tokens"": 712, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
In the 80s who wrote the novel Empire of The Sun?,JG Ballard,>> FINAL ANSWER: J. G. Ballard (published in 1984).,"{""completion_tokens"": 219, ""prompt_tokens"": 247, ""total_tokens"": 466, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,stars on 45 song,">> FINAL ANSWER: ""Stars on 45"" (Medley) by Stars on 45.","{""completion_tokens"": 606, ""prompt_tokens"": 257, ""total_tokens"": 863, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 576, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What was Walter Matthau's first movie?,kentuckian,The Kentuckian (1955).,"{""completion_tokens"": 657, ""prompt_tokens"": 242, ""total_tokens"": 899, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 640, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Otis Barton was a pioneer in exploring where?,Undersea,The deep sea (the ocean depths).,"{""completion_tokens"": 209, ""prompt_tokens"": 243, ""total_tokens"": 452, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Where in England was actor Nigel Hawthorne born?,Cofantre,">> FINAL ANSWER: Coventry, Warwickshire, England.","{""completion_tokens"": 277, ""prompt_tokens"": 243, ""total_tokens"": 520, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",manticore,>> FINAL ANSWER: The Manticore,"{""completion_tokens"": 530, ""prompt_tokens"": 259, ""total_tokens"": 789, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 512, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,">> FINAL ANSWER: Arges, Brontes, and Steropes are the three elder Cyclopes of Greek mythology—one-eyed giant smiths, sons of Uranus and Gaia. They forged Zeus’s thunderbolt (along with Poseidon’s trident and Hades’ helm), with their names reflecting “Bright” (Arges), “Thunder” (Brontes), and “Lightning” (Steropes).","{""completion_tokens"": 286, ""prompt_tokens"": 249, ""total_tokens"": 535, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which musician founded the Red Hot Peppers?,f p lamothe,">> FINAL ANSWER: Jelly Roll Morton (Ferdinand ""Jelly Roll"" Morton).","{""completion_tokens"": 220, ""prompt_tokens"": 242, ""total_tokens"": 462, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Where did the Shinning Path terrorists operate?,Peru,>> FINAL ANSWER: Peru.,"{""completion_tokens"": 272, ""prompt_tokens"": 242, ""total_tokens"": 514, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,>> FINAL ANSWER: Richard Noble,"{""completion_tokens"": 336, ""prompt_tokens"": 250, ""total_tokens"": 586, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 320, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
In which state was Gene Vincent born?,US-VA,>> FINAL ANSWER: Virginia,"{""completion_tokens"": 271, ""prompt_tokens"": 241, ""total_tokens"": 512, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Brandon Lee died during the making of which movie?,crow,>> FINAL ANSWER: The Crow,"{""completion_tokens"": 272, ""prompt_tokens"": 244, ""total_tokens"": 516, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who had a 70s No 1 hit with Let's Do It Again?,Staple Singers,>> FINAL ANSWER: The Staple Singers,"{""completion_tokens"": 339, ""prompt_tokens"": 249, ""total_tokens"": 588, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 320, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who had a Too Legit To Quit Tour?,Wiredoo,>> FINAL ANSWER: MC Hammer,"{""completion_tokens"": 144, ""prompt_tokens"": 242, ""total_tokens"": 386, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster,>> FINAL ANSWER: Triumph and Disaster.,"{""completion_tokens"": 274, ""prompt_tokens"": 256, ""total_tokens"": 530, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who is the most successful UK solo artist in the USA?,Sir Elton,>> FINAL ANSWER: Elton John.,"{""completion_tokens"": 785, ""prompt_tokens"": 245, ""total_tokens"": 1030, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 768, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which country does the airline TAAG come from?,Angola,>> FINAL ANSWER: Angola,"{""completion_tokens"": 143, ""prompt_tokens"": 243, ""total_tokens"": 386, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,>> FINAL ANSWER: Upside Down,"{""completion_tokens"": 273, ""prompt_tokens"": 248, ""total_tokens"": 521, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
River Phoenix died during the making of which movie?,Dark Blood,>> FINAL ANSWER: Dark Blood,"{""completion_tokens"": 208, ""prompt_tokens"": 243, ""total_tokens"": 451, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What is Mel Gibson's middle name?,St Colm,>> FINAL ANSWER: Columcille,"{""completion_tokens"": 402, ""prompt_tokens"": 241, ""total_tokens"": 643, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 384, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hôtel,Grand Hotel (1932).,"{""completion_tokens"": 399, ""prompt_tokens"": 250, ""total_tokens"": 649, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 384, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What is Osbert Lancaster best known for producing?,Cartoon,>> FINAL ANSWER: Pocket cartoons.,"{""completion_tokens"": 273, ""prompt_tokens"": 243, ""total_tokens"": 516, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade,>> FINAL ANSWER: Virginia Wade,"{""completion_tokens"": 528, ""prompt_tokens"": 249, ""total_tokens"": 777, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 512, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who was the first US-born winner of golf's British Open?,Walter Hagen,Walter Hagen (in 1922).,"{""completion_tokens"": 273, ""prompt_tokens"": 246, ""total_tokens"": 519, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
In which country is the Sky Train Rail bridge?,ᑲᓇᑕ,Canada,"{""completion_tokens"": 458, ""prompt_tokens"": 243, ""total_tokens"": 701, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What was the Paramount Film Company originally called?,famous players,>> FINAL ANSWER: The Famous Players Film Company.,"{""completion_tokens"": 532, ""prompt_tokens"": 242, ""total_tokens"": 774, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 512, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who was the first person after Scott to reach the South Pole overland?,Sir Ed,Sir Edmund Hillary — he reached the South Pole overland on 4 January 1958.,"{""completion_tokens"": 604, ""prompt_tokens"": 248, ""total_tokens"": 852, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 576, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which journalist first told the world about the My Lai massacre?,Sy Hersh,>> FINAL ANSWER: Seymour Hersh,"{""completion_tokens"": 145, ""prompt_tokens"": 245, ""total_tokens"": 390, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What is the name of Terence and Shirley Conran's dress designer son?,Jaspis,>> FINAL ANSWER: Jasper Conran,"{""completion_tokens"": 209, ""prompt_tokens"": 249, ""total_tokens"": 458, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which drink did The Spice Girls promote?,Pepsi,>> FINAL ANSWER: Pepsi,"{""completion_tokens"": 335, ""prompt_tokens"": 241, ""total_tokens"": 576, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 320, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who was the youngest brother in the Beach Boys?,Carl Wilson,>> FINAL ANSWER: Carl Wilson,"{""completion_tokens"": 144, ""prompt_tokens"": 243, ""total_tokens"": 387, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who first hosted Family Feud?,Colin Emm,>> FINAL ANSWER: Richard Dawson.,"{""completion_tokens"": 145, ""prompt_tokens"": 240, ""total_tokens"": 385, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Lèine bhàn,>> FINAL ANSWER: Faithful (trusted) friend.,"{""completion_tokens"": 597, ""prompt_tokens"": 248, ""total_tokens"": 845, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 576, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Who or what was Gentle Ben in the 60s TV series?,🐻,Gentle Ben was a tame American black bear—the title character and animal companion in the 1960s TV series.,"{""completion_tokens"": 481, ""prompt_tokens"": 247, ""total_tokens"": 728, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which 70s show was based on the British show Till Death Us Do Part?,all in family,>> FINAL ANSWER: All in the Family,"{""completion_tokens"": 210, ""prompt_tokens"": 250, ""total_tokens"": 460, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
On what date in 1969 did Neil Armstrong first set foot on the Moon?,Jul 20,"July 20, 1969. (This was late evening U.S. time; 02:56 UTC on July 21.)","{""completion_tokens"": 549, ""prompt_tokens"": 250, ""total_tokens"": 799, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 512, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
